110	267	19	1	2026-01-30 16:54:00	2026-02-06 22:20:57.732	good	good	Asignación automática junto con laptop	\N	firmada	2026-01-30 21:56:05.533	\N	acta_generada
107	265	19	1	2026-01-30 16:54:00	2026-02-06 22:20:57.732	good	good	Asignación automática junto con laptop	\N	firmada	2026-01-30 21:56:05.533	\N	acta_generada
109	266	19	1	2026-01-30 16:54:00	2026-02-06 22:20:57.732	good	good	Asignación automática junto con laptop	\N	firmada	2026-01-30 21:56:05.533	\N	acta_generada
475	530	57	1	2026-02-19 15:53:00	\N	good	\N	Asignación automática junto con laptop	\N	firmada	2026-02-20 20:21:39.286	\N	no_generada
122	277	20	1	2026-01-30 17:01:00	\N	good	\N	Asignación automática junto con celular/tablet	\N	firmada	2026-02-12 22:01:29.58	\N	no_generada
118	45	20	1	2026-01-30 17:00:00	\N	good	\N	Asignación automática junto con laptop	\N	firmada	2026-02-12 22:01:29.58	\N	no_generada
174	222	26	1	2026-02-03 16:45:00	\N	good	\N	Asignación automática junto con laptop	\N	firmada	2026-02-18 19:45:32.91	\N	no_generada
119	274	20	1	2026-01-30 17:00:00	\N	good	\N	Asignación automática junto con laptop	\N	firmada	2026-02-12 22:01:29.58	\N	no_generada
121	279	20	1	2026-01-30 17:01:00	\N	good	\N		\N	firmada	2026-02-12 22:01:29.58	\N	no_generada
120	273	20	1	2026-01-30 17:00:00	\N	good	\N	Asignación automática junto con laptop	\N	firmada	2026-02-12 22:01:29.58	\N	no_generada
116	156	20	1	2026-01-30 17:00:00	\N	good	\N	Asignación automática junto con laptop	\N	firmada	2026-02-12 22:01:29.58	\N	no_generada
169	216	26	1	2026-02-03 16:45:00	\N	good	\N		\N	firmada	2026-02-18 19:45:32.91	\N	no_generada
203	60	30	1	2026-02-05 16:17:00	\N	good	\N	Asignación automática junto con laptop	\N	firmada	2026-02-18 19:47:51.878	\N	no_generada
149	298	25	11	2026-02-02 17:13:00	\N	good	\N	Asignación automática junto con laptop	\N	acta_generada	\N	\N	no_generada
124	284	23	11	2026-02-02 14:36:00	2026-02-02 22:45:23.22	good	good			acta_generada	\N	\N	no_generada
206	333	30	1	2026-02-05 16:17:00	\N	good	\N	Asignación automática junto con laptop	\N	firmada	2026-02-18 19:47:51.878	\N	no_generada
130	287	23	11	2026-02-02 14:38:00	2026-02-02 20:37:00.42	good	good			acta_generada	\N	\N	no_generada
126	201	23	11	2026-02-02 14:36:00	\N	good	\N	Asignación automática junto con laptop	\N	acta_generada	\N	\N	no_generada
157	284	23	11	2026-02-02 17:53:00	\N	good	\N		\N	acta_generada	\N	\N	no_generada
156	285	23	11	2026-02-02 17:52:00	\N	excellent	\N		\N	acta_generada	\N	\N	no_generada
125	283	23	11	2026-02-02 14:36:00	\N	good	\N	Asignación automática junto con laptop	\N	acta_generada	\N	\N	no_generada
129	93	23	11	2026-02-02 14:36:00	\N	good	\N	Asignación automática junto con laptop	\N	acta_generada	\N	\N	no_generada
127	285	23	11	2026-02-02 14:36:00	2026-02-02 20:46:11.516	good	good	Asignación automática junto con laptop	Cambio de mouse pad	acta_generada	\N	\N	no_generada
211	348	31	6	2026-02-05 17:17:00	\N	good	\N	Mousepad desgastado por el uso	\N	no_generada	\N	\N	no_generada
212	181	31	6	2026-02-05 17:17:00	\N	good	\N	Asignación automática junto con laptop	\N	no_generada	\N	\N	no_generada
215	347	31	6	2026-02-05 17:17:00	\N	good	\N	Asignación automática junto con laptop	\N	no_generada	\N	\N	no_generada
135	293	24	11	2026-02-02 15:47:00	\N	good	\N	Asignación automática junto con celular/tablet	\N	acta_generada	\N	\N	no_generada
137	291	24	11	2026-02-02 15:47:00	\N	good	\N		\N	acta_generada	\N	\N	no_generada
141	288	24	11	2026-02-02 15:47:00	\N	good	\N	Asignación automática junto con laptop	\N	acta_generada	\N	\N	no_generada
134	294	24	11	2026-02-02 15:47:00	\N	good	\N		\N	acta_generada	\N	\N	no_generada
145	304	24	11	2026-02-02 17:12:00	\N	excellent	\N		\N	acta_generada	\N	\N	no_generada
139	289	24	11	2026-02-02 15:47:00	\N	good	\N	Asignación automática junto con laptop	\N	acta_generada	\N	\N	no_generada
136	292	24	11	2026-02-02 15:47:00	\N	good	\N	Asignación automática junto con celular/tablet	\N	acta_generada	\N	\N	no_generada
142	290	24	11	2026-02-02 15:47:00	\N	good	\N	Asignación automática junto con laptop	\N	acta_generada	\N	\N	no_generada
138	192	24	11	2026-02-02 15:47:00	\N	good	\N	Asignación automática junto con laptop	\N	acta_generada	\N	\N	no_generada
140	39	24	11	2026-02-02 15:47:00	\N	good	\N	Asignación automática junto con laptop	\N	acta_generada	\N	\N	no_generada
147	300	25	11	2026-02-02 17:13:00	\N	excellent	\N	Equipo nuevo	\N	acta_generada	\N	\N	no_generada
148	297	25	11	2026-02-02 17:13:00	\N	good	\N	Asignación automática junto con laptop	\N	acta_generada	\N	\N	no_generada
152	98	25	11	2026-02-02 17:13:00	\N	good	\N	Asignación automática junto con laptop	\N	acta_generada	\N	\N	no_generada
154	301	25	11	2026-02-02 17:14:00	\N	excellent	\N	Asignación automática junto con celular/tablet	\N	acta_generada	\N	\N	no_generada
151	149	25	11	2026-02-02 17:13:00	\N	good	\N	Asignación automática junto con laptop	\N	acta_generada	\N	\N	no_generada
155	302	25	11	2026-02-02 17:14:00	\N	excellent	\N	Asignación automática junto con celular/tablet	\N	acta_generada	\N	\N	no_generada
153	303	25	11	2026-02-02 17:14:00	\N	excellent	\N	Equipo nuevo	\N	acta_generada	\N	\N	no_generada
150	299	25	11	2026-02-02 17:13:00	\N	good	\N	Asignación automática junto con laptop	\N	acta_generada	\N	\N	no_generada
